id,leaktype,public
WaC2064N0k,in,1
4grYus5YE1,normal,1
2ClGa565iB,normal,1
VkmwlUySmY,normal,0
UdbyDRYd4A,in,0
rLCPjJxoc7,normal,0
UhvD8C6VH8,normal,1
4fPI9CUig1,other,0
YVSlhdBh41,in,0
irgwD9PmEd,out,0
IELBY0f4ub,out,0
IaNihaP0ce,out,0
zi8iBOTFxS,out,0
FVJaSbVNVT,normal,0
CtfvBCtkLD,out,1
ZHqeBYz4dV,normal,0
C7tlz7uxVL,noise,1
ysrVoNYBuQ,normal,0
dQgmQGrDdr,normal,0
VB7Qhqn6qg,other,0
8QTBELsJ7r,out,0
OZ7GMgLGZr,normal,0
JTyzmNJ6vG,other,0
AmNVjuk7Hv,in,0
yxz2tx17T1,other,0
Sx1s4mcDQu,in,0
vEPFl1Pvqt,out,0
TTPofVCfQ6,noise,0
a6J0rRPaJ3,normal,0
WksTxQp1ks,out,0
MmZz5cdb5R,out,0
qIRCQj5Pwc,in,0
aknY8enYO8,other,0
LXXJbUnCUy,out,1
vWEcdE2zVB,out,0
nC5LhLHKT2,normal,0
S9cb2DzDzy,normal,0
98NyAlE3Bo,out,0
3tBfIhBdlA,normal,0
ronAeeROhk,in,1
9umLQ1jZK4,normal,0
rqCoFSGJUO,out,0
U4KUlLVLjS,normal,0
QEPlr3Pn7c,in,0
IMa0FegyN5,noise,0
DNgsuzk9jG,out,0
E0tQ0RMt78,normal,1
3Qxc7z2WNw,out,1
ZbxkXHEGZx,in,0
UNHcjSJqD7,normal,0
vA1ULZLmjz,in,1
qcKwXpXVLP,normal,0
oBPNVqjFV9,normal,1
D2N2iJf1MF,normal,1
K4u2duAWkE,out,0
6Xzmi6mmGJ,out,0
YqpcM3gmDB,out,0
yDznWTllvr,in,0
Wu7d0my6Uc,other,0
Wj2McLEIhb,normal,0
LR7hSWbusG,in,0
NSdyDXiygI,in,0
TSNEpQ1Ukk,normal,0
ISkE3fGNla,normal,0
qIpVHpwZmk,out,1
dUB9mCWPQe,in,0
5twPadIhXu,out,1
SIY4XGAynv,noise,0
OSxdFp7VcX,out,0
jPaVKbeVHX,other,0
kCRiJpVWFX,out,0
QgpvUv2wOZ,out,1
I1lV6D7goE,normal,0
cuzAtPYKh3,noise,0
j9UB6E5PsK,out,0
nCrvUhipxf,out,0
ArIDBMMYB7,normal,0
WbG96ff0lw,normal,0
NtLWk45zHR,in,0
nhhtxxMysM,in,1
NbaSz5hjTB,in,1
uv5dHMxPpy,normal,0
TE0gtsz2FE,out,0
BPwSNqFwbE,normal,0
fjQ2YaL1JB,normal,1
w4Vf55Przx,in,0
bnSNaAjy6E,out,0
hHVVdCE8cH,in,0
xWOEFQCaxh,in,0
au80ECNK8R,normal,0
UKROtBHTMf,out,0
vhXX3936hx,out,0
fXeuphsd0m,out,0
bdme0S2zkl,out,0
NPbQuP5Rcv,normal,0
quESTlIMBb,noise,1
m3iMRnt7WQ,out,1
iNNkTA5QAK,out,1
jr2TtmIlJW,noise,0
puE0vX0V3L,other,0
gqvS2g7qwt,in,0
ZGot5OOz0U,out,0
DCl8OzGXbM,out,1
SMuuT7nBoy,in,0
W9sHxCTNhX,out,0
dUGywImW4G,out,1
ELgZVGjziG,noise,0
0uz9cq4oj2,in,0
uzgiuPLZyX,normal,0
tNW1SRZPJc,normal,1
QwrMHK6tOT,in,0
i5EZgrnsHK,out,0
7g4QJQxb8o,normal,0
GGWfsYaftt,in,1
4tOZOg7HzC,other,1
pHzOXsVePN,normal,1
tg113gYwtE,normal,0
1582Nzjn06,normal,1
qeAWdZvvCF,normal,0
MVdq7r7rFL,out,1
wIwlRW7P4O,out,0
3U1yg9tlh4,out,0
AvMVyrLyCS,normal,1
aE7Ft0INOy,out,0
owljlxB2xk,in,1
hKzHpZNsAe,out,1
OrzNxeUbmw,out,0
fod9D0snSN,normal,1
Sd62Lrr3Rm,noise,0
nJYuwfVQFF,normal,1
rp7B5MhCM8,other,0
4PJPTpCppa,normal,0
9FKtwzJ7YH,normal,1
0xLzXYloiQ,normal,1
rn1I9gQKDh,normal,0
w2ZHqy5EsY,other,0
NEH9V6RNXI,normal,0
SAS5E3lbQ6,out,1
WiCNgZwSji,out,0
MhbmbkQ3ir,other,0
ekYLrROvnZ,out,0
eXJvtiITi8,normal,1
6lkidGRdZt,in,0
RxLefdn2zG,normal,0
toBs7WJW5n,normal,1
gv8D7BQAC2,in,0
ZBwFTRsWCS,out,0
coWBY4mFIN,normal,1
oQ4jainevg,out,0
UKnFDqpNrc,out,1
YMrSvRSMTl,normal,1
AKmXR5rmoT,normal,0
9LuPkCV3Z9,other,0
w3dsSgHzjU,normal,0
lNdKV9TIZ6,other,1
W1Ut5sZXHn,normal,0
lfA5NHpfGV,in,1
3HBpg6w4Ku,normal,1
6Huadm6UZV,normal,1
mnxGhPXmpq,noise,0
1wBG17ovNV,in,0
BKauKc4MoB,out,0
IEGTZ9rncE,normal,0
2d8FZ40cQn,in,1
PBqzPeQWAO,noise,0
xWSvts3JAO,noise,1
DjMETawUXk,other,0
oYnXKQZpKm,noise,1
ghT4TDO7NE,normal,0
m7y7oMAXzC,out,0
J3r5Of6yyn,other,1
lS22UOfrgK,in,0
UknDUqpfEH,other,0
EDFgono6UW,out,0
y8T6DLTa7j,out,0
aCoqkbGYCg,out,0
iwfdwLITuO,out,0
bMOny1zZEW,out,0
GzmQQbyW2z,normal,1
f7dwnxbKuS,normal,0
DhCw3EP3Ml,normal,1
G3vhtFSs3J,in,0
UAzaHJeYz1,out,0
JgrsS685NT,noise,0
TgjxNDAkKf,other,0
3QJrYDyWO3,noise,1
oIpyOtDWYa,other,0
8Jlimks6MK,in,0
j14M98Ku08,out,0
Gia0tr1GgZ,normal,0
2ERJixfmhW,normal,0
kHaJYwJZSM,other,1
IZR5n5l6pr,out,1
TZtAXAG6Gr,in,0
l8WN1xG4OG,out,0
bvPxVnJkTE,out,0
TpUuskttRb,noise,0
5vnJA3ujOP,normal,0
vvU4TDu0mr,normal,0
dmF6UZ2Gu5,in,1
giBkbfUkEE,other,0
3U7chUZZRG,normal,1
sOKbLzfVbD,out,1
JqGJnQAIYb,out,0
EY39wVXRRb,out,0
sO27vYeJjo,normal,0
WMofMTD3Ox,normal,1
yfvUIbR90A,in,1
sbWlo5svCy,normal,0
M2saoIwtAz,normal,0
Ccw4ocCNA7,other,0
kN6NKZIncT,other,0
LGHTAGvgFu,other,0
uJ1wnDdEMl,other,0
hptEPWfrSX,noise,0
zRURqFSez0,in,1
nXGjNYNzlW,out,0
ewKaf4Lca1,normal,0
KUTBDkPkYj,noise,0
PlCmeihtJB,in,0
ylMhfOa7W5,in,0
KvtgVQSlbv,in,1
koCgrr4YIY,in,0
n36kWu8lg0,normal,0
8X0tQN7wuv,normal,1
tzPQSk0b5w,normal,0
YAwci89KNS,normal,0
9myZNkHUTc,out,0
MD7Uu8qASX,out,0
0cIyhRTTmk,normal,0
iDbafCFSdZ,in,1
q8LBA1voMl,normal,0
rNX68C4zmb,in,1
jsFHMd5EEG,normal,0
sQvoUqdyGF,normal,0
Ud8rw9NRJe,normal,1
QAhbvmQZGc,noise,1
3d50QerdED,normal,0
LDntGBcpcU,in,0
Onacaym2Gu,in,1
rRUf5ZCI5x,normal,0
W9Y72Tos1T,out,0
Nj6tTFI7EZ,in,0
YKIMIeEBIK,in,1
mJhuoqUJlH,out,0
xzBzmb7p3y,normal,0
dSwqbwjDJN,out,1
uuVMN1l7ae,out,1
wcLR1n2uda,in,1
lXcbRxMt9s,normal,0
Ocqqe4t3Sf,out,0
O1GUNrdtdT,noise,1
KY4vAlw9I3,in,0
QHpbNKyuoX,out,1
Ld8sIUYP3t,in,0
yDZ1tEYaT8,out,0
9BvNHkrNuJ,normal,0
6LIOD53EdU,normal,1
tRnU7uAbc8,out,0
gz2fsKQDfO,in,0
BkQkmPAATY,out,0
VAnXnrwteU,normal,0
Z7dylsXbNR,noise,1
nWq05G70f2,normal,0
Wid80xeiBX,in,0
tO0KFIMzww,out,0
l0pngoQGWh,out,1
B9xldTMte3,in,1
qK4SajTta6,normal,0
0hDXGPOSlt,other,0
X0dBe5rNgB,in,0
a6VdVqqUF0,in,0
s7vJABhdPJ,normal,1
sFbpwN71ex,out,1
1M8GfT3XZQ,other,0
McoUuxJlHC,normal,1
dsMqMhzSUe,noise,0
kFZLHX9Uwi,normal,0
xRssm1WLxy,out,1
lwmcCjNd6T,normal,0
qhkZ1vI6xk,in,1
I2N0zDcuMH,out,0
cxzJO6unHP,out,0
un9JTNeoGW,noise,1
UUy9JlXLmX,normal,0
OlQOEo1QLV,normal,0
vlbleSknov,noise,1
gy0er0cESr,normal,0
lWUKuOYNEi,in,0
iwKtp3MHot,out,1
IEJH5d88fH,out,0
Y741g5PfLu,normal,0
3i6XZzXJZ6,out,1
SWvNMZAw7A,in,0
R2EmKUCN9s,out,0
SMkDgbCbWY,normal,0
YSy7fdk58u,noise,0
wCdBtCG2tl,normal,0
YRZZxfEKmn,in,1
j69BDo3wdS,out,0
otBZrVVOXZ,out,0
biD7gTbxwn,noise,1
r35gNkCMz1,other,0
dhcEqRKicn,normal,0
OLF0qzRhlu,normal,1
aXWCBWpzME,out,1
bNXidajIQS,out,1
BIXwgeWFP8,normal,0
51iJU3mGfp,out,0
jP3TxNvy5u,in,0
zjsjnEma1c,normal,0
ZilfxcaxKi,normal,0
8o4Re0v0si,in,1
Y0NpWtecoX,other,0
Hdsi8H12c0,out,0
0tCv64Klkl,normal,0
yRW1OkvsZl,in,1
nDPKrXrMtV,other,0
Sgh6OfMyQ6,normal,0
hrX3dadGCv,out,0
zl07tWvHOH,out,0
kmj6GMj1Nf,in,0
ohcU9ew6ub,in,1
yEw8hUpNES,out,1
7kaFoF1ZEe,other,0
4pTOeIX7zS,normal,0
KYfHTAt0nn,normal,0
jN5Da0paWc,out,0
E5OwB2mBp6,normal,0
EqOD3MSstP,normal,0
6bKrZ7YRqa,normal,0
YWwA4zYEyY,normal,0
j72lpMt9Dp,normal,0
eFpLhXdOWf,out,0
ZQJxIR7JV8,in,1
YHaw9FDqEg,in,1
vth0ZdPZsy,normal,0
iBZhBv2XV4,out,0
Y6ZNKucLYe,normal,0
Jx6Rmzk1hj,normal,1
8WWntrJYtD,in,0
gxkPHSetim,out,0
BQSBN2JnhE,normal,0
1pJMHqlx2E,normal,0
MTsKA9DJU2,in,0
ebsgXRfIWh,out,1
sSZqFpelfR,normal,0
6EnOTHYy2d,out,1
WxMYHeYims,normal,1
1KtmO9g5Xv,other,1
A3TMh5E858,normal,1
pvGm4mAlv4,normal,0
2EKTZHygGF,in,1
GL9QwiBvAY,other,0
0orpox2To4,normal,0
2e8rRd0o4R,out,0
Suq6KDRmIy,noise,0
Heh38fzTCq,normal,1
KrQWIxRhoc,out,0
RXqsS0GRXr,normal,0
B1NYIxFgKW,in,0
o07z0gAPrj,out,0
SnT6GNJ265,normal,0
MZMizs8hlu,out,0
lLx4Fiurnh,in,0
7v1mzPPitX,out,1
NSaAi45993,normal,0
gCH8nLzyFA,out,1
eeGnEIFs8F,other,0
GquW71D0QX,other,0
I7qYScrn3f,normal,0
1KH9qwQkzP,normal,0
9cBUNilCSj,normal,1
B6OL36iKqm,in,0
7Wo6X80Msr,other,0
rEcaRxuHbB,in,0
bzGEGlaepp,other,1
otuO6ffsZm,out,1
HCAAGvAoHw,out,0
kAYryAqkBm,normal,0
75TZ6ppJBL,out,0
bAMf2igHOM,out,0
sH3a3qZ73h,out,1
5E7DR9dBjo,normal,0
sy4a09qbsC,other,1
V28maVwQSA,normal,0
6O6HgHd5ml,in,0
GMayGmmwXq,noise,1
boG42kjERh,normal,1
0guzty4B51,noise,1
QLWU5k21qS,in,0
EKDsJm3MoE,noise,0
hnL8RaWuNn,normal,1
Mcl1Y6CZB3,out,1
GVq7SY8eUn,out,0
WZn29UmchU,normal,1
duBaEqChZg,in,1
306IVGSTYu,noise,0
tQ4fLrgBnj,other,0
nCDYIrxywt,normal,0
shXhCStS8d,normal,0
biqBhHHlhg,in,1
Hi4MeI9HRC,out,0
fmAGiIas1p,normal,0
1I59Ku43nK,in,1
cU2k7DD0WI,normal,0
mUzKAvcEfS,out,1
oQj0htsqLI,out,0
nnFcHqZ2xr,normal,0
zcXy2lsHCq,normal,0
fncPGCSCuh,in,1
2zqgRiSTal,out,0
c888rjfsZN,in,1
jDJeByrUYH,out,0
dEcErvoi09,normal,0
d5OG5icXQQ,other,0
7SfB7weLyL,in,0
2TgwGm6xgN,noise,0
f4ZrLq6p5O,normal,0
UWkXjJLA5Y,out,0
iiUJPIDV0N,out,0
kWbxopObAj,in,1
sUDfXs6Pjz,noise,0
zPNsNQww7i,normal,1
6zXfAXQW33,normal,1
m4iySdiveC,normal,0
iZkkAUGxHo,normal,0
bhxNZNjDTr,in,0
OkFDpLHxid,other,0
Bd3P2868CE,out,0
P6F6S06qkk,out,0
oFVAz1roEJ,other,0
uCQbTbwalx,normal,0
MOprZvUwFL,normal,0
DlFKnAuT2T,normal,1
9HTVPa42JZ,normal,1
Mf3Zqyj4EV,other,0
tbnzyRMXoc,out,0
AERaA9UIbQ,normal,0
ruPfIZqt3u,normal,1
zobgHiccUQ,in,0
tuosXb3iuj,in,0
oraIgk10Ph,in,0
bqlvNx0n8I,normal,0
eXxFQ49Gwb,in,1
f86mIGZBdi,normal,1
eDs7MVoZlO,normal,0
BfHZlkWCrr,normal,0
MC6JJV37j0,other,0
wCr56JqLoF,out,1
6IaXN1DMri,in,1
zq64ItrBw3,in,1
b2oKkfxkLj,in,1
hhIWGRisi8,normal,1
lODMAvaIpj,normal,0
TXki9jLlN1,out,0
h40ZXFsbYk,out,1
7tKYFtMp7h,out,1
VjJXkhxEcn,noise,0
zCu0rVWDi7,out,0
4MyG9TUr9H,other,1
wL11RvZoE6,in,1
KsQ8QVkAhf,normal,0
YbZASvmE7Y,normal,0
wDWihHWHLE,out,1
KbkzdJ8z8n,normal,0
lcniMwZOjG,other,0
SNUmQVxreg,in,0
zhzhY5klIX,in,0
7AS4xsE83I,noise,0
QcpZ9vedAZ,in,0
WhA6GzOF9X,normal,1
u36wlQtmrd,normal,0
62E4pypWTi,in,0
8KgUorGZnI,out,1
vnXX9d2wDh,other,0
sxtwJfXAfI,in,1
z1AsbxzSMG,in,0
W8UipwujEe,out,1
eo0Ln8igsr,out,0
mqW6k1Tn9E,normal,0
8xIMwyCenO,out,0
kNiBMc4Baj,in,0
2cTmUJYoIA,other,0
ZQaMWb6fkb,other,0
hxUaLJfI5W,out,0
vyMQRNGYiJ,other,0
4BmQJCNoDC,out,0
qkvQgOgrDB,other,0
BjTENNi6s3,normal,0
y4XjVgGREe,out,1
iNpA9fJfry,other,1
iMJVQHVr9P,in,0
d9D4C43HQ2,in,0
SiGgF9Gw4U,normal,0
HcGL9cSA2V,in,0
HgTpkdWtVZ,normal,1
B8QKA52Uek,noise,0
7biFcSG13w,normal,0
ZXH6wk134f,normal,1
BdYaBNspOh,normal,0
ZJmDlKHmOf,in,1
bpHM2Gcz5y,normal,1
1ZkyCoVUOk,normal,1
XrP9p41IMC,out,0
m0RMWGUIAA,normal,0
4zTRH8glGi,in,0
05vldKlAAU,out,0
rIxK2chhOk,normal,1
HvANEFa50q,out,0
ZT225rh7lu,out,0
QGXOB7eZy7,normal,0
uXB5BAYC25,out,0
art525J1Uq,in,0
uDhDtdowka,out,1
yp0gsERqCR,normal,0
25END0hlkO,normal,1
cFMb3OHjds,normal,0
ba8htAH0UC,noise,1
JialqOaenW,out,0
kbONynQTnA,in,0
Iul3hlQKI8,other,0
L6Cod2eYHs,in,1
UZigvf1H0C,noise,0
sJ3QpoPqxd,other,1
I3ltKSsvdX,in,1
AqBl3hyaRG,out,0
28mVrhvTEM,normal,0
uqlt4PsATf,other,0
V5P8N9oBwK,normal,0
l6EJZ2K0jK,in,0
I0UumLAsE4,in,0
rmsSSpgWOA,normal,0
yODpOJERoV,out,0
e8Mr5v13SZ,out,0
ScSUS9S5jl,normal,1
EQTLFC5ioC,normal,0
zQUT15CDrU,noise,1
O3DoPuyMax,out,1
GTcPMuS4tq,noise,0
Gmtag9FvT5,in,0
1CwqzAEJme,normal,1
BxYVNerEgN,normal,0
Wavtfs5hen,out,0
jBAaGlqNP2,normal,0
5DZxTRkTCd,out,0
NtCVLQ4462,out,0
sRwqJc4eVW,out,1
8hTro8u2nW,in,1
HBOyfHaqCM,noise,0
oREffaFT88,out,1
TC6LrGAYwO,in,1
XzsCNjVx8P,in,0
eMEWj09d8u,in,0
D2lFV6UrZ7,out,0
gbLZPRjPEy,in,0
DqAi3Uvo8I,normal,1
i2D1W9dFyY,noise,1
EPMjfA5yoX,out,1
EZ3LmIZcEp,out,0
TbnhmtvITk,in,0
fiF9GNFUdd,in,1
HUiOcLQgXm,normal,0
F0f75VquTN,out,0
tHDQn3Xqk6,out,0
sA2hQVLhI8,out,1
QY3gxfQXOA,normal,0
Q2oV0B0L0S,other,0
TolLeElurp,normal,1
k1hkxD7d77,normal,0
gCeTLETQfR,in,0
MfsA1MxP8A,noise,0
zRN9FjwK08,in,0
HKvkk4bMWg,other,0
ueE8RRMP9R,out,1
M2YCTyOQYj,in,1
wqra7YN0vF,noise,0
ZZyVK9jqpy,in,0
GNwZr4gFgQ,out,0
sWChCQuVPn,in,1
iYd6pHEsHG,normal,0
sTJPQkIQSj,normal,0
UKR0pfrppF,in,0
VntyxcFnCH,normal,0
4iiLOwj9JP,out,1
vEAiz6tJjl,out,0
cxwEhmHTtq,in,0
u5lNXJUjw9,normal,0
KPykMxhqVA,normal,0
PPdG6iggoB,normal,0
F575NZs33g,in,1
tQSguRf6Oz,noise,1
BcovMXvrRG,in,0
7S4Mh6Vmh5,out,0
KSjrlAw9Q2,noise,1
89uCDnk8w5,out,0
DB6esSYE4x,normal,0
KqoiAmzEHP,in,0
TcsAd2sR1r,noise,0
AJJBdDV1I2,other,0
pqvJkF1ZQS,in,0
dmIDZZRAdq,normal,0
UD3k3bpW0x,normal,0
CHahp4zGUE,normal,1
QOfY2igP4i,out,0
aM137YnPNe,normal,0
VJMkDDBuA7,in,0
RBCtj9a7l4,out,1
o2XfB9PQ0W,noise,0
hyf0g0XKUP,out,0
HBZtZMdZoO,out,1
ELBZk29FM4,normal,0
UJ8FqjMipW,normal,0
RelIhF5tI0,in,1
brvBML2lWe,out,0
Sr6Wn1VQqu,normal,0
NAFfPnW2Ls,out,1
AOZdDx6j3G,out,0
olcRfgs4sG,out,1
WPclpcyHj3,noise,0
hdiCcwgcqv,in,1
zdkIXHOm0S,normal,0
ZKAWrz5lFc,noise,0
sePpairK2P,out,1
EfUbHO8jsF,out,1
51BRNE2VCa,normal,0
QF2Y7GHQwB,noise,0
f5QG8Wlc5i,out,0
HjJvmEHhxi,other,0
cPwVg4IzcJ,normal,0
DCNs6aXmiB,normal,1
GABmZdgGf4,normal,0
61tliyShe8,in,0
XFlEf55cCK,other,0
CdnIsqDndB,normal,0
t0Wi5ikwd3,in,1
zuQpAqTlnM,out,0
B8yVm99Q0W,noise,0
XOHK3tSjk8,normal,0
SCNpmRQYDu,in,0
oGXcOu1pBI,normal,1
WMnpYElN8A,noise,1
aWtb3y7dDC,noise,0
2yv47aK787,in,0
3EIzjVLSO3,out,0
dcEF7It0Lo,in,0
rILBUsIcbc,normal,1
bMwGctuoCT,in,0
NIS6lWwBAk,in,0
ZpgwV5cClT,out,1
HsrWyLOHCa,normal,0
McR8UqtLqg,normal,1
kHGOgWsqMM,out,0
aQ4Y8SCLQK,out,1
a3pqge9VHA,in,0
uCDjJ5sdwF,normal,0
g9UdIB9vlQ,out,1
5GgEqEqeef,in,0
zyNmT6ZU4i,in,1
53uCPreW1g,normal,1
JZsAEvq5zT,other,0
2htdpOrfIy,other,1
jlqBxMBF0J,noise,1
alIovpCEf9,noise,0
ZDmpwqrxAf,out,0
rbOJa8C6VP,in,0
2g17Ods9NS,normal,0
dC5wfZIZPD,out,0
wpqz3tGExw,other,0
qcJ7jHCwVX,normal,0
e1QUi4ZJf7,normal,0
rseFJiYUto,in,0
e4RecDQJCk,in,0
IeomVWz4GO,in,0
SBLcgrHg67,out,0
V4PUSfqVBC,in,0
HDX8JRCwOo,normal,1
2jCoyn6YsU,normal,0
ZTfNqzDOgC,normal,0
KH2mhsAEDF,out,1
60OgWk7Jc3,out,0
kXHVKzHhgE,out,0
pfNWvrUDF8,out,0
S3zeubZxZJ,out,0
Li7lGrWU80,other,0
9SUdJhwTQR,noise,0
c6Bo7DPrmM,in,0
pXAxagSlrq,normal,0
hoxg5jJ8j5,other,0
Rw1RfzZwhZ,noise,0
X4DDzmyFr8,other,0
XKZ3IAfo5Z,out,0
NT2LwuwMOn,out,0
5pZYAGRpVO,normal,1
xVjxgt4tLA,normal,0
oOa8HqHUBC,normal,1
rCydwN9Z1o,out,0
qjQsO87Maj,normal,1
b1cOif0AC2,in,1
SovA0gE0nb,in,0
pwatFDFZHg,noise,0
hXG4NB9zfV,normal,1
9gv0A7hBXR,normal,1
Dtm2AlWl7Q,out,0
jQBHZ0oNzc,normal,0
LVmNVJku9z,in,0
dW8xzlNcuY,normal,0
3oyTpvjWUH,normal,1
eAu9cyIZ2B,in,0
H6UQHhbbJ2,out,1
XjO1w9cYNc,out,1
s290plDHOE,normal,1
k9gXTH8aQm,out,0
PGseUhsDSH,out,1
uzjnd8mkXx,out,0
PW8Dqza9KD,noise,0
Ufv3sf2gQM,normal,1
nS27l3OGqJ,normal,0
BAkHZMMnBZ,normal,0
DDhg9pIiuZ,out,0
VFx8KtSGlw,in,0
owhtKMCple,out,0
gdYC7xk03D,normal,1
lMrm7ERFvr,normal,1
3bsm3M3G8e,normal,0
uWrygOkfu2,normal,0
w4y1hSOE5L,in,0
wtCc5hahgI,normal,0
IPYNoqdbg7,normal,0
vXWzdADxjt,noise,0
U8zpxeaa8C,noise,1
6smRW7jSe1,normal,1
MyIulULOsL,noise,0
OOyjW2f1Ri,out,0
apweBpbNg8,in,0
p7UNuRauv2,out,0
DGoO2Ap6Tw,normal,0
cPPoYNKGjl,out,0
Tk6FZVDDX5,out,0
gskUpKFfvx,out,1
V5bUmX2t0I,in,0
WwJ3jEYgwF,out,0
tJsro0UAgj,out,0
BQ4h7fTpvI,normal,0
Lt5XTP731u,other,0
A7YCXLrwjN,other,1
Yq5T0DyNFz,other,0
9S9tPEu94L,other,0
1hcX0fLGlF,other,0
X9ppJiaYIq,normal,1
Pu7DKWOPb1,normal,0
qSVIHNt2tl,normal,0
36HT95eyiN,noise,1
UCO8MsD9lM,other,0
vqDdx25WAC,out,0
J61ItwQHco,other,0
ou8DP2VyFH,noise,1
lQmhCzM27X,normal,0
TQtu9TEMd0,normal,0
k9XVpCjIbz,in,1
dwjqpHoeN6,in,0
5CBK06o8ik,noise,0
npe0xHiqMy,in,0
9AAa8SUpi8,normal,0
oeItlLlDEn,noise,1
mnr6VoouPm,normal,0
2fVucZAMOM,in,0
TVdTfkwuYn,normal,1
8BgiAeAjRF,normal,1
xRjl261W3D,out,0
lKUBtwEkfX,normal,0
33uChVfZMZ,normal,1
aWy8ledcVL,out,1
Tm35ENrAAY,normal,0
XJ8qeIMDkQ,normal,0
gPGxbcdUVb,normal,0
4Ou8RDyPL3,in,1
NIe3XWXAu8,normal,0
Qj6hyGseva,other,0
3XssIxYD9M,out,0
qyfy529Tgx,other,1
yyYEnk2R2B,normal,0
0Zs4jwke44,normal,0
GmgZziZSsX,normal,0
dbqeB5Q2U6,in,0
ke2T5yZMON,out,0
iNAE8RAD5x,normal,1
9rSeCjNA5n,in,0
9TaQLHD6Bf,out,0
A5mTvIVoin,in,0
6XIzPqivtO,normal,1
JcBObwdNRS,normal,0
zHCAOq0xzK,other,1
UHmrY3yKpt,normal,1
pGaewusmJC,out,0
8reOpvTJOl,out,0
4wmUfY0hJm,out,1
7cZfH8jl3n,normal,1
7nU9E7WNPF,other,0
AxX6FYzBtU,in,0
8otASrpZTL,in,1
P5bSTNLzMm,in,0
VqfZAZYeD8,out,1
C1nXefgUbb,normal,1
NnkG4YtXED,out,1
V0bDOJml3T,in,1
TvkIaQElvk,in,0
qp1Fsdb8Ca,out,1
pyX1gZgTed,in,0
g22MErQu1l,noise,0
nUIsdLL3Sl,normal,0
dwnLcUakf2,out,0
BZoR4FSxih,other,0
ga69pteACx,normal,0
WDc6I1OckH,noise,0
Wi61cRQhb2,normal,0
QbysChVVKT,normal,1
Q4oty9SuLN,normal,1
WTXkF4qaZy,normal,0
evvneZa2xP,out,0
y4NwicI9Ef,other,0
yd1KF2uE3I,other,0
YCqEGEOLZ9,normal,0
NFrRVvu2KN,out,1
uQ1tRTAqTX,other,1
68vqxE6gtK,in,1
tw0Nld0C9I,out,0
58zcd7EiGP,out,0
b6j0HGIPss,out,1
cNdJEB0jUv,in,1
Rvv9P7JYsY,in,0
s6jet4ObWJ,normal,0
uh46YMOzci,noise,0
P0eZCbHkeS,in,0
StkYepJvyJ,out,0
aIdHlSdGXW,noise,1
3uebCZXHxa,out,0
Qj8mP7myfH,out,0
yQ6rDEFreZ,normal,0
3Z24Mtwzz8,out,0
OK16YISUa5,out,0
UmsydJgcwF,in,0
